M,Y,X1,X2,X3
2016/01/01,482.989,3091.695,66662.224,5361.785
2016/02/01,433.665,2652.26,55210.717,5648.685
2016/03/01,409.985,2356.298,44574.606,5287.26
2016/04/01,382.706,2083.848,43383.704,5031.129
2016/05/01,390.151,1965.799,49342.933,4977.844
2016/06/01,424.798,2000.656,67551.229,5117.214
2016/07/01,459.126,2186.616,78568.539,5112.561
2016/08/01,466.601,2208.375,78174.536,5491.773
2016/09/01,418.28,1947.752,66614.898,5369.185
2016/10/01,408.951,1925.203,58952.703,5462.946
2016/11/01,405.96,2159.445,52533.242,5308.525
2016/12/01,486.22,2866.273,69501.358,5279.316
2017/01/01,477.256,2914.837,68005.594,5424.818
2017/02/01,396.604,2341.078,52380.924,5092.096
2017/03/01,435.554,2524.263,53325.237,5407.708
2017/04/01,383.248,1932.745,48565.447,5309.556
2017/05/01,404.126,1892.286,55201.684,5356.519
2017/06/01,415.577,1910.408,63098.547,5581.823
2017/07/01,451.116,2141.879,74213.784,5537.623
2017/08/01,444.072,2094.234,70229.13,5298.027
2017/09/01,402.598,1920.233,59039.437,5278.819
2017/10/01,407.672,2031.694,54435.842,5375.314
2017/11/01,425.676,2357.822,55357.275,5758.638
2017/12/01,486.061,3084.415,63002.781,5591.953
2018/01/01,511.879,3341.039,69253.774,6256.23
2018/02/01,414.635,2710.812,50024.953,5542.765
2018/03/01,446.662,2796.803,48869.909,5798.943
2018/04/01,402.759,2350.552,44793.442,5329.919
2018/05/01,406.331,2055.084,51573.59,5484.494
2018/06/01,420.231,2063.233,60239.976,5646.599
2018/07/01,453.522,2350.873,68083.151,5710.165
2018/08/01,458.824,2313.979,67976.37,6128.782
2018/09/01,413.93,2156.178,58159.414,5719.92
2018/10/01,425.655,2285.982,52811.207,6068.139
2018/11/01,447.831,2716.057,56170.449,5802.03
2018/12/01,472.632,2999.625,60149.091,5520.174
2019/01/01,498.887,3417.277,60198.764,6179.495
2019/02/01,432.066,3013.226,49199.764,5596.363
2019/03/01,447.84,2922.31,48347.845,5461.546
2019/04/01,382.541,2208.978,37282.224,5562.295
2019/05/01,398.381,2130.992,44060.166,5600.318
2019/06/01,401.376,2116.735,48267.03,5596.04
2019/07/01,441.867,2390.95,59801.968,5797.249
2019/08/01,443.202,2430.31,56310.744,5880.223
2019/09/01,403.084,2203.241,51113.288,5887.858
2019/10/01,403.948,2304.754,41517.648,5917.551
2019/11/01,431.99,2777.953,45869.143,5956.032
2019/12/01,454.543,3163.005,44574.785,5788.381
2020/01/01,448.415,3296.072,40721.643,5813.959
2020/02/01,413.97,3032.764,35981.93,5711.483
2020/03/01,384.568,2708.46,32799.766,5708.48
2020/04/01,304.813,2245.089,26704.143,4809.639
2020/05/01,318.298,2071.15,29821.123,5161.804
2020/06/01,347.972,2135.305,39909.197,5178.327
2020/07/01,404.271,2492.604,52950.167,5576.509
2020/08/01,405.584,2404.397,53712.464,5601.689
2020/09/01,364.448,2174.262,41888.12,5475.283
2020/10/01,371.27,2323.14,37507.38,5817.198
2020/11/01,372.403,2440.363,38028.567,6093.798
2020/12/01,434.525,3158.443,47290.498,6128.877
